# Distill Linux Package Catalog
# NAME	VERSION	SHA256	SIZE	FILENAME	DEPENDS
alacritty	0.17.0	23e30e6f70063982c87a4621d7ac4d33983efe3b200a72d33861db1b74cf6d29	3487639	alacritty-0.17.0.drop	freetype-devel fontconfig-devel libxcb-devel libxkbcommon-devel
alsa-lib	1.2.16.1	42c0969d81bea2948dafad05bf52b7ccb1d4080eb6a83813965cfb6f39c4d57d	552780	alsa-lib-1.2.16.1.drop	
alsa-utils	1.2.16	e14cfd70000739d6a300694db231bfae821af9d87fb1f113836891f9e9e57047	1380076	alsa-utils-1.2.16.drop	libsamplerate-devel ncurses-devel
appimage	1.0	a3e9b11fbd50e88703e9b813d6c44163004e6887e5cc0bb880578c1c6c39ae0a	376	appimage-1.0.drop	squashfs-tools fuse zlib
appimaged	20240901	ce03e11dc04e89d4d9bea5cffe952e726ea5bbf3c88295e4c9c08956155a724e	390	appimaged-20240901.drop	fuse cairo glib
apple-bcm-firmware	14.0	e99775baa7f596ce342a562a3d4eb68621c126a1d7b01c90b31573b4cf014fec	31820329	apple-bcm-firmware-14.0.drop	
apple-t2-audio-config	0.4	753fb9f354393d0d9b5a56d11e9c34f55cead3c5f2f1b57064f214a227f00a9e	1204	apple-t2-audio-config-0.4.drop	alsa-ucm-conf
autoconf	2.73	16463c02f2ebaa5c3ab52826edc4de995e7c71a131c41b675d11764530bffda9	993107	autoconf-2.73.drop	
automake	1.16.5	49228018cc7d1688ece65341b2136cf4ae2cf5d4b9235873a64c066c97a1690a	679196	automake-1.16.5.drop	
azpainter	3.0.12	95c74338cfd5c6f70eacc3d086fdd79a94a9e128aba141591b747b46ac0316af	847265	azpainter-3.0.12.drop	fontconfig-devel libXcursor-devel libXi-devel libXrender-devel libjpeg-turbo-devel libpng-devel libwebp-devel tiff-devel zlib-devel freetype-devel
badwolf	1.4.0	b49a5be04e2113b0ce05372558566c3c37128b9c5772cb05307aee8f1f829c53	92647	badwolf-1.4.0.drop	libwebkit2gtk41-devel
bash	5.3	8e06a7745703f8e70b9829728be473a645a781b9a52db842c427e62de4b0369f	2662552	bash-5.3.drop	
bc	7.0.3	ff3f6e3e4944683f1461b682fd1d821c16994c167fda95781b3e5e34b8e9b0c4	154017	bc-7.0.3.drop	
bearssl	0.6	7d18744d1b243e68c1806081d0b719268b19a011d93ba5b13e8f828822520691	370393	bearssl-0.6.drop	
binutils	2.44	0a3490bacda34753289ef5beb828843dc440382a456a5d6392ef202183ded3ef	2216760	binutils-2.44.drop	zlib-devel libzstd-devel
bison	3.8.2	60e4dc89970511785e30d3d10db26120ee4f79195f911f5a603cbb024a637823	916951	bison-3.8.2.drop	m4
bitmap	1.1.2	d4c9792b746f68e88224ab8f7aab4c7a2c2b90d13a69cf9c470a56f2b42cd3b8	62033	bitmap-1.1.2.drop	libXt-devel libXmu-devel libXaw-devel xbitmaps
bsd-mk-files	20240414	a04d2c8bd1299eb0d2ff56ac8b19f39ddd385674f1eff42dadf2bbedd640c920	354	bsd-mk-files-20240414.drop	
bsdmake	20240414	265c64e92166b6d6626de90527aea7971f47fa5145a170cd2ecc70654206d1df	241982	bsdmake-20240414.drop	
btrfs-progs	6.11	36f74101ac2ed676b4507f9ca9870a6a3662f594d6c2ddf7a023a5159e5678e4	3023456	btrfs-progs-6.11.drop	acl-devel libzstd-devel lzo-devel libblkid-devel libuuid-devel
bubblewrap	0.12.0	ed10ff574a6d2d34da97a3b03ee64fb0832e7dda05591eb96684a8a7a12786c1	40718	bubblewrap-0.12.0.drop	libcap libseccomp
byacc	20260126	0b8ce4228aff92c205de619cb8b5c5fde9ceeafde626199f4bf7a46b2e91ec44	78108	byacc-20260126.drop	
ca-certificates	20250419+3.127	ba0d314dcd645e0ab6f951bae17f4afdd197186ee46a24460f52587f1a72dd34	166292	ca-certificates-20250419+3.127.drop	
cage	0.3.0	86184019e7e0b13236af0fce6561a6606b653fd2abb5b8e11d3692244760bf41	24221	cage-0.3.0.drop	libxkbcommon-devel wlroots0.20-devel
cairo	1.18.4	882c984be2e517d9c1693a79ee379db1648156e50ed17b3edee021ed020cee00	659276	cairo-1.18.4.drop	fontconfig-devel freetype-devel libglib-devel libpng-devel libX11-devel
cargo	1.78.0	5c38ad289101e30918bea4114b3cd5679754f9759a0fd207917b45181d7494d6	10896050	cargo-1.78.0.drop	rustup
chrony	4.8	a60353cbb95a3ddc48eb55997e18eaf2013827b5e079b3205d0db88e04070366	299696	chrony-4.8.drop	gnutls-devel libcap-devel libedit-devel libseccomp-devel
clang	21	cec03b6bbe72a6b63bbf7d35df2e0b7b5cdaa9e0160d514fc7ee14ea3168931d	254	clang-21.drop	
compiler-rt	21	5b35d41b194e912641ea9cf51a8c8701111d3badacb3742be3485d84a6fdb120	265	compiler-rt-21.drop	
containerd	2.3.2	b953ff05995f30817a05842f956682f7eafa62e03d0bf24d06a99cc4ddb295b6	29457498	containerd-2.3.2.drop	runc libseccomp btrfs-progs
cproc	main	731bbfd8e7dc0107efe8c6159a950eb69b3066b1b343c4e8daa7be5ad87a1358	365	cproc-main.drop	
crio	1.36.3	74424cbede57463862b5e7698f00dc8c1ad52f423b762e7bab568cfc670973e4	24298352	crio-1.36.3.drop	conmon crun cni-plugins gpgme libseccomp
crun	1.29.1	53420d2a0a5f83f25b58074d82c7956ef902c9354884d16a847cd3d8595aec9e	284599	crun-1.29.1.drop	libcap libseccomp yajl
cryptsetup	2.8.7	1ea69e636b6b4d94cf5e00b9126d7560ca8c946fe36839a77b214dcd2fdc9a60	910026	cryptsetup-2.8.7.drop	device-mapper-devel json-c-devel openssl-devel popt-devel
curl	8.21.0	761d0a088c1064f03f467f6be6ef64f6a99ca68345a0fd23f6e52727e7662cde	284976	curl-8.21.0.drop	nghttp2-devel zlib-devel
dav1d	1.5.3	0084769ab816162416bd785bdc3b68e0f5a24f02304ee10d880caa3341ccb04e	18716	dav1d-1.5.3.drop	
dbus	1.16.2	5716666839d60fb23bea4a143bc9b0ea5361e92b10c5d88448dda9570c7d4742	163805	dbus-1.16.2.drop	expat-devel libX11-devel libcap-devel
dejavu-fonts-ttf	2.37	040eee998bedb63ee78b58f5d3beb4775226308c72553b63b9e588ca20bb3130	5421004	dejavu-fonts-ttf-2.37.drop	
